2024-05-14 07:27:11 status half-installed binutils-x86-64-linux-gnu:amd64 2.40-2
2024-05-14 07:27:11 status unpacked binutils-x86-64-linux-gnu:amd64 2.40-2
2024-05-14 07:27:12 install binutils:amd64 <none> 2.40-2
2024-05-14 07:27:12 status half-installed binutils:amd64 2.40-2
2024-05-14 07:27:12 status unpacked binutils:amd64 2.40-2
2024-05-14 07:27:12 install libisl23:amd64 <none> 0.25-1.1
2024-05-14 07:27:12 status half-installed libisl23:amd64 0.25-1.1
2024-05-14 07:27:12 status unpacked libisl23:amd64 0.25-1.1
2024-05-14 07:27:12 install libmpfr6:amd64 <none> 4.2.0-1
2024-05-14 07:27:12 status half-installed libmpfr6:amd64 4.2.0-1
2024-05-14 07:27:12 status unpacked libmpfr6:amd64 4.2.0-1
2024-05-14 07:27:12 install libmpc3:amd64 <none> 1.3.1-1
2024-05-14 07:27:12 status half-installed libmpc3:amd64 1.3.1-1
2024-05-14 07:27:12 status unpacked libmpc3:amd64 1.3.1-1
2024-05-14 07:27:12 install cpp-12:amd64 <none> 12.2.0-14
2024-05-14 07:27:12 status half-installed cpp-12:amd64 12.2.0-14
2024-05-14 07:27:12 status unpacked cpp-12:amd64 12.2.0-14
2024-05-14 07:27:12 install cpp:amd64 <none> 4:12.2.0-3
2024-05-14 07:27:12 status half-installed cpp:amd64 4:12.2.0-3
2024-05-14 07:27:12 status unpacked cpp:amd64 4:12.2.0-3
2024-05-14 07:27:12 install libassuan0:amd64 <none> 2.5.5-5
2024-05-14 07:27:12 status half-installed libassuan0:amd64 2.5.5-5
2024-05-14 07:27:12 status unpacked libassuan0:amd64 2.5.5-5
2024-05-14 07:27:13 install libreadline8:amd64 <none> 8.2-1.3
2024-05-14 07:27:13 status half-installed libreadline8:amd64 8.2-1.3
2024-05-14 07:27:13 status unpacked libreadline8:amd64 8.2-1.3
2024-05-14 07:27:13 install gpgconf:amd64 <none> 2.2.40-1.1
2024-05-14 07:27:13 status half-installed gpgconf:amd64 2.2.40-1.1
2024-05-14 07:27:13 status unpacked gpgconf:amd64 2.2.40-1.1
2024-05-14 07:27:13 install libksba8:amd64 <none> 1.6.3-2
2024-05-14 07:27:13 status half-installed libksba8:amd64 1.6.3-2
2024-05-14 07:27:13 status unpacked libksba8:amd64 1.6.3-2
2024-05-14 07:27:13 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg-10
2024-05-14 07:27:13 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-05-14 07:27:13 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-05-14 07:27:13 install libsasl2-2:amd64 <none> 2.1.28+dfsg-10
2024-05-14 07:27:13 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2024-05-14 07:27:13 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2024-05-14 07:27:13 install libldap-2.5-0:amd64 <none> 2.5.13+dfsg-5
2024-05-14 07:27:13 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-05-14 07:27:13 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-05-14 07:27:13 install libnpth0:amd64 <none> 1.6-3
2024-05-14 07:27:13 status half-installed libnpth0:amd64 1.6-3
2024-05-14 07:27:13 status unpacked libnpth0:amd64 1.6-3
2024-05-14 07:27:13 install dirmngr:amd64 <none> 2.2.40-1.1
2024-05-14 07:27:13 status half-installed dirmngr:amd64 2.2.40-1.1
2024-05-14 07:27:13 status unpacked dirmngr:amd64 2.2.40-1.1
2024-05-14 07:27:13 install libdpkg-perl:all <none> 1.21.22
2024-05-14 07:27:13 status half-installed libdpkg-perl:all 1.21.22
2024-05-14 07:27:13 status unpacked libdpkg-perl:all 1.21.22
2024-05-14 07:27:13 install patch:amd64 <none> 2.7.6-7
2024-05-14 07:27:13 status half-installed patch:amd64 2.7.6-7
2024-05-14 07:27:13 status unpacked patch:amd64 2.7.6-7
2024-05-14 07:27:13 install make:amd64 <none> 4.3-4.1
2024-05-14 07:27:13 status half-installed make:amd64 4.3-4.1
2024-05-14 07:27:13 status unpacked make:amd64 4.3-4.1
2024-05-14 07:27:13 install dpkg-dev:all <none> 1.21.22
2024-05-14 07:27:13 status half-installed dpkg-dev:all 1.21.22
2024-05-14 07:27:13 status unpacked dpkg-dev:all 1.21.22
2024-05-14 07:27:13 install fonts-dejavu-core:all <none> 2.37-6
2024-05-14 07:27:13 status half-installed fonts-dejavu-core:all 2.37-6
2024-05-14 07:27:13 status unpacked fonts-dejavu-core:all 2.37-6
2024-05-14 07:27:13 install fontconfig-config:amd64 <none> 2.14.1-4
2024-05-14 07:27:13 status half-installed fontconfig-config:amd64 2.14.1-4
2024-05-14 07:27:14 status unpacked fontconfig-config:amd64 2.14.1-4
2024-05-14 07:27:14 install libcc1-0:amd64 <none> 12.2.0-14
2024-05-14 07:27:14 status half-installed libcc1-0:amd64 12.2.0-14
2024-05-14 07:27:14 status unpacked libcc1-0:amd64 12.2.0-14
2024-05-14 07:27:14 install libgomp1:amd64 <none> 12.2.0-14
2024-05-14 07:27:14 status half-installed libgomp1:amd64 12.2.0-14
2024-05-14 07:27:14 status unpacked libgomp1:amd64 12.2.0-14
2024-05-14 07:27:14 install libitm1:amd64 <none> 12.2.0-14
2024-05-14 07:27:14 status half-installed libitm1:amd64 12.2.0-14
2024-05-14 07:27:14 status unpacked libitm1:amd64 12.2.0-14
2024-05-14 07:27:14 install libatomic1:amd64 <none> 12.2.0-14
2024-05-14 07:27:14 status half-installed libatomic1:amd64 12.2.0-14
2024-05-14 07:27:14 status unpacked libatomic1:amd64 12.2.0-14
2024-05-14 07:27:14 install libasan8:amd64 <none> 12.2.0-14
2024-05-14 07:27:14 status half-installed libasan8:amd64 12.2.0-14
2024-05-14 07:27:14 status unpacked libasan8:amd64 12.2.0-14
2024-05-14 07:27:14 install liblsan0:amd64 <none> 12.2.0-14
2024-05-14 07:27:14 status half-installed liblsan0:amd64 12.2.0-14
2024-05-14 07:27:14 status unpacked liblsan0:amd64 12.2.0-14
2024-05-14 07:27:14 install libtsan2:amd64 <none> 12.2.0-14
2024-05-14 07:27:14 status half-installed libtsan2:amd64 12.2.0-14
2024-05-14 07:27:14 status unpacked libtsan2:amd64 12.2.0-14
2024-05-14 07:27:14 install libubsan1:amd64 <none> 12.2.0-14
2024-05-14 07:27:14 status half-installed libubsan1:amd64 12.2.0-14
2024-05-14 07:27:14 status unpacked libubsan1:amd64 12.2.0-14
2024-05-14 07:27:14 install libquadmath0:amd64 <none> 12.2.0-14
2024-05-14 07:27:14 status half-installed libquadmath0:amd64 12.2.0-14
2024-05-14 07:27:14 status unpacked libquadmath0:amd64 12.2.0-14
2024-05-14 07:27:14 install libgcc-12-dev:amd64 <none> 12.2.0-14
2024-05-14 07:27:14 status half-installed libgcc-12-dev:amd64 12.2.0-14
2024-05-14 07:27:15 status unpacked libgcc-12-dev:amd64 12.2.0-14
2024-05-14 07:27:15 install gcc-12:amd64 <none> 12.2.0-14
2024-05-14 07:27:15 status half-installed gcc-12:amd64 12.2.0-14
